test,level,run,segment,marker,mode,n_samples,rmse_3d_cm,mean_offset_norm_cm,dispersion_3d_cm,mean_offset_squared_cm2,temporal_mean_square_cm2,mse_cm2,identity_error_cm2,bias_x_cm,sd_x_cm,rmse_x_cm,p95_abs_x_cm,min_signed_x_cm,max_signed_x_cm,bias_y_cm,sd_y_cm,rmse_y_cm,p95_abs_y_cm,min_signed_y_cm,max_signed_y_cm,bias_z_cm,sd_z_cm,rmse_z_cm,p95_abs_z_cm,min_signed_z_cm,max_signed_z_cm,role
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,original_static,178,4.85410167659897,3.43310403248964,3.44131245691081,11.7862032978967,11.7760997888643,23.562303086761,0,0.983285488400895,1.55386355141782,1.8351506005459,3.34596316460462,-2.71595072735358,5.68013502751894,-2.97046412090526,2.89846186264111,4.14457973473189,7.85823621911794,-10.0555795330973,2.41136649155955,1.41269099686075,1.01343885877725,1.73694679899146,2.86453751467542,-1.9322850414409,3.24291413590112,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,attitude_absolute,178,4.69892834172264,3.55964435238344,3.07603918120598,12.6710679154553,9.40885964518897,22.0799275606443,0,0.95435966251593,1.48100031031213,1.75836345122657,3.13036842673997,-2.62834011790132,5.34943120369128,-3.10966530083576,2.24072245167117,3.82918378229809,6.91080370672274,-8.54636669339532,1.9276579504852,1.44576874596037,1.49927249682853,2.07976851967235,3.51127406319288,-3.48630440824648,4.58811137461703,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,attitude_run_centered,178,4.65451643481142,3.50051511792591,3.0763754931013,12.2536060908279,9.4109171511017,21.6645232419296,1.77635683940025e-15,0.953516644264589,1.48051305846708,1.75749786798335,3.12800249833199,-2.63047757630219,5.34494400465936,-3.05105315236485,2.2405706028447,3.78165027967594,6.85049360234468,-8.48665351118545,1.98576294824215,1.42670486134407,1.50067006098305,2.06756998628594,3.52177502508581,-3.51321464388195,4.56844700390338,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,kalman,178,2.98093688464702,0.8136994374447,2.87581997401765,0.662106774497821,8.22387793575127,8.88598471024909,1.77635683940025e-15,0.117400127414651,1.38711490235281,1.38818624848814,2.51102662086487,-3.95693182945251,2.56313145160676,-0.173045116952298,2.37263421897402,2.37227990452366,5.14301579051548,-6.2063619228937,7.10147465677291,0.786371014267318,0.846675636582977,1.15378148032924,2.06008711457252,-1.38782150590251,2.68736425626991,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,original_static,169,7.36408174172087,6.22992807664593,3.93820619812041,38.8120038401812,15.4176960585654,54.2296998987466,7.105427357601e-15,2.10488063944288,1.8753680661281,2.81544263074427,5.23246234742728,-2.79676902252856,6.44619785042236,-5.5899266947208,3.35664657720032,6.51518899237622,10.5318623579324,-11.9587992536557,2.03575331701324,1.77036744251796,0.851696208298672,1.96349053609998,3.15562090011466,-0.101827080466693,4.4911900675394,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,attitude_absolute,169,6.45775934711173,5.82529957994987,2.79549314112461,33.9341151961642,7.76854058904472,41.7026557852089,3.5527136788005e-15,1.98416286276026,1.77150508230546,2.6564192276048,4.94278353705546,-2.98680591826648,5.98084737577764,-5.18127079140643,1.81347432044917,5.4876950011757,8.38758183166099,-9.77372678710495,-1.08833713993024,1.77528755877063,1.17807577621819,2.12868415846308,3.65638064439917,-1.36370359750936,5.07962958282536,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,attitude_run_centered,169,6.40651184764312,5.76833613644521,2.79570034861599,33.2737017830197,7.76969227097197,41.0433940539916,3.5527136788005e-15,1.98123668441172,1.77111847269885,2.65397779538678,4.93750040669411,-2.98986172362502,5.97920253175024,-5.12556607806748,1.81347561877449,5.43513217077384,8.33137734725191,-9.71856086233596,-1.03171646942097,1.7541309422973,1.17914629076588,2.11166621458148,3.63868612846822,-1.39342139560248,5.0577004760697,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,kalman,169,2.88682901952844,1.02857766961871,2.70538687751214,1.05797202243826,7.27580976555325,8.33378178799151,1.77635683940025e-15,-0.11662554529635,1.30070466441194,1.30208421306362,2.48775112628937,-2.96856999397278,3.22370052337646,0.166036334717282,2.24749848048711,2.24698207256243,4.04634944614402,-4.28553733825683,5.12936547922365,1.00836622324245,0.758970429727024,1.26072600340638,2.28380244290347,-0.832141072156922,3.04790784695754,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,original_static,169,6.72800652535066,5.9261778708672,3.19482134208073,35.1195841571561,10.1464876480049,45.2660718051611,5.32907051820075e-15,2.15892576447161,1.56298972573109,2.66260062559397,4.75897435099258,-1.56609393637956,6.96303972352916,-5.28490999463402,2.54577418163899,5.86283983432529,8.95077513654341,-9.74103511374891,1.98273261870141,1.59007862990301,1.13268722124595,1.95031761279957,3.217353235338,-1.28382713598024,5.29999032461783,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,attitude_absolute,169,7.10939103076879,6.35773894559464,3.19105779916575,40.4208445003309,10.1225963280449,50.5434408283758,8.88178419700125e-15,2.1821734733612,1.57248352759457,2.68699723206996,4.67565606897364,-1.59985437406105,7.34876897978952,-5.74473143535825,2.22893603519906,6.15960207655613,8.93372801287965,-9.46067058927465,-0.0294558166318293,1.6300380879281,1.65589540250928,2.32008382644022,3.90035169691604,-3.10054897147385,7.41764590461471,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,attitude_run_centered,169,7.05812553608397,6.30017298808115,3.19142977378673,39.6921796797473,10.1249564033733,49.8171360831207,8.88178419700125e-15,2.17873797618471,1.57214635311529,2.68401158923286,4.66858728822941,-1.60024242519299,7.34945835691536,-5.68815095273156,2.22819933747339,6.10659934874134,8.87455751229409,-9.40654308422005,0.0266468203164227,1.60941581010531,1.65792266342007,2.30708956608455,3.88512399612358,-3.12960627828361,7.40758033428307,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,kalman,169,3.22221906307972,1.051270530411,3.05495488202156,1.10516972811063,9.27752596236374,10.3826956904744,0,0.186481621727086,1.75538283204302,1.76008844387975,3.63580353017309,-4.18364044888567,4.87532605027656,0.214615974724843,2.29685962429676,2.30008864927221,4.62386665059009,-3.94669143503363,7.75987949371337,1.01209402540553,0.987834151278106,1.41222397858287,2.50221389532089,-1.62741323178922,4.42265748977661,reference
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,original_static,148,7.00946262148943,5.92514172133373,3.75774823112857,35.1073044178897,14.0252618241678,49.1325662420575,1.77635683940025e-14,2.61565520294687,2.06654263132675,3.32917334977936,6.50328029116305,-1.60394730799459,7.4589851621583,-5.25276545187711,2.95255941619411,6.02081798826978,9.92737889733677,-11.6084676852087,0.60849158426366,0.821040428208594,1.06417395913567,1.34123890537942,2.56604104030666,-2.8700936480068,3.6286617160237,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,attitude_absolute,148,6.83282318172785,6.03662294424123,3.21190927722056,36.4408165709396,10.2466560618178,46.6874726327574,1.06581410364015e-14,2.57748188483791,1.92810194162534,3.21494497616928,5.93635923670977,-1.75136955071278,6.94051995082414,-5.38510763505476,1.90069817605955,5.70855743391215,8.05230901615746,-9.53723969321021,-0.371243490325951,0.893319351154385,1.72804240437553,1.94009624933601,3.82052015354418,-5.35166722511015,5.06412380192633,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,attitude_run_centered,148,6.78257788945217,5.97966731700167,3.21195402990332,35.7564212220179,10.2469416044675,46.0033628264854,1.77635683940025e-15,2.57183507458437,1.92685867348602,3.20967811746346,5.92691205476444,-1.75472661449796,6.93077249186916,-5.32784128313601,1.90182568601174,5.65494428691631,7.99712688963908,-9.47737393600069,-0.31628938224269,0.869593487134726,1.72827179652098,1.92949068943963,3.81429965483387,-5.38078660071569,5.04020461132083,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,4,13,kalman,148,3.07520172122572,1.02746099372015,2.90832262340592,1.05567609361639,8.40118953261323,9.45686562622962,0,0.0772234966348099,1.55118047680196,1.54785868099027,3.09525713324547,-4.13440823554992,4.76022268037888,-0.300926891356339,2.23547743068637,2.24814376665329,4.53592931061984,-5.26559457533127,5.32029378886356,0.979364912196928,1.02704443287279,1.41663288623787,2.60607913467619,-2.84374409829619,2.90828319706724,compared
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,5,14,original_static,176,5.92539837566851,5.22163787851377,2.80885589782843,27.2655021343297,7.84484377604529,35.110345910375,1.77635683940025e-15,1.65269688111586,1.4486974244968,2.19504137526333,4.22748191100366,-1.16409046217445,5.11977257587308,-4.80148394774647,2.32225846508715,5.33071206225029,9.16693098818149,-11.0023108116086,1.09715948100642,1.21648964361093,0.630922220525603,1.36954305541532,2.12598177388207,-0.685143796617682,2.84781577158434,reference
